"Server Administration","Werden verschiedene Administrationsrollen mit Rechten nach dem Least-Privilege-Prinzip für unterschiedliche Administrationsaufgaben (z. B. Softwareupdates, Konfiguration, Backup) eingesetzt?"
"Server Administration","Existiert ein geregelter Prozess zum zeitnahen Einspielen von Sicherheitsupdates der Server?  Werden kritische Updates unverzüglich eingespielt?"
"Netzwerk","Wird 802.1X Filterung genutzt? (Port-Security)"
"Netzwerk","Wird im Netzwerk eine Art von Netzwerkanomalie-Detektion durhgeführt? (IDS/IPS/…)  [unabhängig von Firewall]"
"VPN","Existiert eine fein granulare Berechtigungs- und Kommunikatiosmatrix für die VPN-Appliance?"
"VPN","Erfolgt der externe Zugriff auf das lokale Firmennetzwerk über getunnelte und durch Verschlüsselung gesicherte VPN-Verbindungen?"
"VPN","Werden auf der Firewall eigene Netzwerkzone(n) und IP-Subnetz(e) für das Unternehmens-VPN genutzt, um eine granulare Zugangskontrolle zu implementieren?"
"Email","Werden gefährliche E-Mail-Anhänge blockiert? (z.B. .exe, .doc, .cmd, .zip, .7z)"
"Email","Werden eingehende E-Mails mittels Anti-Malwareschutz überprüft?"
"Email","Wurden Mitarbeiter hinsichtlich Phishing sensibilisiert?"
"Email","Werden Links in Mails überprüft (u.ggf. blockiert), bevor sie den Nutzern angezeigt werden? (Link Protection)"
"Secure Browsing","Wird ein Web-Proxy eingesetzt, über den alle HTTP(S)-Verbindungen gehen müssen?"
"Secure Browsing","Wird gefiltert / blockiert auf Web-Kategorien? (Fielsharing, Pornographie, Gewalt, …)"
"Secure Browsing","Werden HTTP(S)-Verbindungen abseits des Web-Proxies blockiert? (Ausnahmeregeln vermeiden)"
"Secure Browsing","Wird eine SSL Inspection durchgeführt?"
"Client","Ist ein Schnittstellen- / Device-Management für die Clients etabliert?"
"Patch-Management","Ist ein Patch-Management Prozess etabliert? "
"Patch-Management","Gibt es geregelte Wartungszeiträume für das Einspielen von Patches?"
"Patch-Management","Besteht eine Übersicht über alle in der Infrastruktur installierten Software-Anwendungen?"
"Schwachstellen-Management","Gibt es Maßnahmen, um Systeme nach vorhandenen Schwachstellen zu scannen? (CVEs)"
"Schwachstellen-Management","Ist ein Schwachstellen-Management Prozess etabliert?"
"Schwachstellen-Management","Werden dadurch bekannte kritische  Schwachstellen zeitnah behoben?"
"Schwachstellen-Management","Werden authentifizierte Scans durchgeführt?"
"Verschlüsselung","Wird Festplattenverschlüsselung auf externen Geräten (Laptops) eingesetzt?"
"Zertifikate und PKI","Nutzen Sie eine interne Zertifizierungsstelle?"
"Zertifikate und PKI","Existiert eine oder mehere eigene CA(s)?"
"Backup","Wird die Wiederherstellbarkeit der Backups regelmäßig überprüft & dokumentiert?"
"Backup","Werden die Backups verschlüsselt?"
"Backup","Existiert ein Backup-Konzept?  (Wann wird welches System wie gesichert?)"
"Backup","Werden regelmäßig Backups erzeugt?"
"Privilege Access Management (PAM)","Werden Passwort-Richtlinien direkt über das AD durchgesetzt?"
"Privilege Access Management (PAM)","Werden Benutzernamen und Kennwörter zentral verwaltet?"
"Nutzung von Clouddiensten","Ist bekannt welche Daten von Cloud-Diensten verarbeitet werden?"
"Nutzung von Clouddiensten","Gibt es eine Übersicht über alle genutzten Cloud-Dienste?"
"Konzepte und Richtlinien","Wurde ein ISMS bereits aufgebaut und implementiert? Wird es auch regelmäßig erhalten und verbessert?"
"Konzepte und Richtlinien","Sind Verantwortlichkeiten in Bezug auf die Informationssicherheit verteilt?  Gibt es eine Sicherheitsorganisation?"
"Konzepte und Richtlinien","Gibt es eine Übersicht über alle Richtlinien, Dokumentationen, etc. ?"
"IAM","Findet eine applikationsübergreifende Authentifizierung der Applikationen statt (Single-Sign-On)?  [Oder müssen Nutzer sich separat an den einzelnen Applikationen anmelden?]"
"IAM","Werden Zugriffsrechte für Applikationen zentral verwaltet oder müssen diese manuell in den einzelnen Applikationen zugeordnet werden? "
"Digitale Signatur","Können Mitarbeiter mittels digitaler Zertifikate Dokumente digital unterzeichnen (elektronische Signatur)? "
"Digitale Signatur","Können autorisierte Mitarbeiter mittels digitaler Zertifikate Dokumente digital stempeln (elektronischer Siegel)? Z.B. Einstellungsverträge, Rechnungslegung, Vergabeunterlagen, etc."
